Lesson ID;Sentence ID;Category;Chinese;Pinyin;English;Italian;French;Spanish;German;;Greek;Indonesian;;Japanese;Korean;Nederlands;Brazilian;Russian;;Turkish;Ukrainian;Arabic;;;;;;;
9;5;;这就是我的家。;Zhè jiùshì wǒ de jiā.;This is exactly my home.;Questa è proprio la mia casa.;C'est justement ma maison.;Esta es exactamente mi casa.;Das ist genau mein Zuhause.;;;;;;;;;;;;;;;;;;;;
9;6;;她是最好的。;Tā shì zuì hǎo de.;She is the best.;Lei è la migliore.;Elle est la meilleure.;Ella es la mejor.;Sie ist die Beste.;;;;;;;;;;;;;;;;;;;;
9;7;;你能帮我吗？;Nǐ néng bāng wǒ ma?;Can you help me?;Puoi aiutarmi?;Peux-tu m'aider ?;¿Puedes ayudarme?;Kannst du mir helfen?;;;;;;;;;;;;;;;;;;;;
10;1;Words;做;zuò;"to do; to make";fare;faire;hacer;tun;;;;;;;;;;;;;;;;;;;;
10;2;;对;duì;"correct; right";giusto;correct;justo;richtig;;;;;;;;;;;;;;;;;;;;
10;3;;小;xiǎo;"small; little";piccolo;petit;pequeño;klein;;;;;;;;;;;;;;;;;;;;
10;4;;让;ràng;"to let; to allow";lasciare;laisser;dejar;lassen;;;;;;;;;;;;;;;;;;;;
10;5;;啦;la;modal particle (exclamation);particella modale;particule modale;partícula modal;Modalpartikel;;;;;;;;;;;;;;;;;;;;
10;6;;被;bèi;passive marker;passo/passivo;passif/passe;marcador pasivo;passiv Marker;;;;;;;;;;;;;;;;;;;;
10;7;;今天;jīntiān;today;oggi;aujourd'hui;hoy;heute;;;;;;;;;;;;;;;;;;;;
10;1;Phrases;我做了一个。;Wǒ zuò le yī gè.;I made one.;Ne ho fatto uno.;J'en ai fait un.;Hice uno.;Ich habe eins gemacht.;;;;;;;;;;;;;;;;;;;;
10;2;;你对吗？;Nǐ duì ma?;Are you correct?;Hai ragione?;Avez-vous raison ?;¿Estás en lo cierto?;Hast du recht?;;;;;;;;;;;;;;;;;;;;
10;3;;这很小。;Zhè hěn xiǎo.;This is very small.;Questo è molto piccolo.;C'est très petit !;¡Esto es muy pequeño!;Das ist sehr klein.;;;;;;;;;;;;;;;;;;;;
10;4;;他让我来。;Tā ràng wǒ lái.;He let me come.;Lui mi ha lasciato venire.;Il m'a laissé venir.;Me dejó venir.;Er hat mich kommen lassen.;;;;;;;;;;;;;;;;;;;;
10;5;;好啦！;Hǎo la!;All right!;D'accord !;D'accord !;¡Está bien!;Alles klar!;;;;;;;;;;;;;;;;;;;;
10;6;;我被他看见了。;Wǒ bèi tā kàn jiàn le.;I was seen by him.;Lui mi ha visto.;Il m'a vu.;Él me vio.;Er hat mich gesehen.;;;;;;;;;;;;;;;;;;;;
10;7;;今天我在学校。;Jīntiān wǒ zài xuéxiào.;Today I am at school.;Oggi sono a scuola.;Aujourd'hui je suis à l'école.;Hoy estoy en la escuela.;Heute bin ich in der Schule.;;;;;;;;;;;;;;;;;;;;
11;1;Words;呢;ne;question particle “what about?”;e tu?;et toi?;¿y tú?;und du?;;;;;;;;;;;;;;;;;;;;
11;2;;把;bǎ;disposal marker;marcatore “ba”;marqueur “ba”;marcador “ba”;Ba-Struktur-Marker;;;;;;;;;;;;;;;;;;;;
11;3;;喜欢;xǐhuān;to like;Mi piaci.;Je t'aime bien.;Me gustas.;Ich mag dich.;;;;;;;;;;;;;;;;;;;;
11;4;;不是;bùshì;is not;non è;n'est pas;no es;ist nicht;;;;;;;;;;;;;;;;;;;;
11;5;;还是;háishi;"or; still";"o; ancora";"ou; encore";"o; aún";"oder; noch";;;;;;;;;;;;;;;;;;;;
11;6;;大家;dàjiā;everyone;tutti;tout le monde;todos;alle;;;;;;;;;;;;;;;;;;;;
11;7;;再;zài;again;di nuovo;à nouveau;otra vez;nochmal;;;;;;;;;;;;;;;;;;;;
11;1;Phrases;你呢？;Nǐ ne?;What about you?;E tu?;Et toi?;¿Y tú?;Und du?;;;;;;;;;;;;;;;;;;;;
11;2;;把他叫来。;Bǎ tā jiào lái.;Call him here.;Chiamalo qui.;Appelle-le ici.;Llámalo aquí.;Ruf ihn hierher.;;;;;;;;;;;;;;;;;;;;
11;3;;我喜欢你。;Wǒ xǐhuān nǐ.;I like you.;Ti piaci.;Je t'aime bien.;Me gustas.;Ich mag dich.;;;;;;;;;;;;;;;;;;;;
11;4;;这不是我的。;Zhè bù shì wǒ de.;This is not mine.;Questo non è mio.;Ceci n'est pas à moi.;Esto no es mío.;Das ist nicht meins.;;;;;;;;;;;;;;;;;;;;
11;5;;还是去吧。;Háishi qù ba.;Let’s go instead.;Andiamo invece.;Allons plutôt.;Vayamos entonces.;Gehen wir lieber.;;;;;;;;;;;;;;;;;;;;
11;6;;大家好！;Dàjiā hǎo!;Hello, everyone!;Ciao a tutti!;Bonjour à tous!;¡Hola a todos!;Hallo zusammen!;;;;;;;;;;;;;;;;;;;;
11;7;;再说！;Zài shuō!;Say it again!;Di' di nuovo!;Dis-le encore!;¡Dilo otra vez!;Sag es nochmal!;;;;;;;;;;;;;;;;;;;;
12;1;Words;哦;ó;"oh; oh!";oh;oh;oh;oh;;;;;;;;;;;;;;;;;;;;
12;2;;现在;xiànzài;"now; currently";adesso;maintenant;ahora;jetzt;;;;;;;;;;;;;;;;;;;;
12;3;;时候;shíhou;"time; moment";"tempo; momento";"temps; moment";"tiempo; momento";"Zeit; Moment";;;;;;;;;;;;;;;;;;;;
12;4;;用;yòng;to use;usare;utiliser;us ar;benutzen;;;;;;;;;;;;;;;;;;;;
12;5;;里;lǐ;"inside; in";"dentro; in";"dedans; dans";"dentro; en";"innen; in";;;;;;;;;;;;;;;;;;;;
12;6;;等;děng;to wait;wait;attendre;esperar;warten;;;;;;;;;;;;;;;;;;;;
12;7;;你们;nǐmen;you (plural);"voialtri; voi";vous;ustedes;euch;;;;;;;;;;;;;;;;;;;;
12;1;Phrases;哦，我明白了。;Ó, wǒ míngbái le.;Oh, I understand.;Oh, capisco.;Oh, je comprends.;Oh, entiendo.;Oh, ich verstehe.;;;;;;;;;;;;;;;;;;;;
12;2;;现在几点？;Xiànzài jǐ diǎn?;What time is it now?;Che ore sono adesso?;Quelle heure est-il maintenant?;¿Qué hora es ahora?;Wie spät ist es jetzt?;;;;;;;;;;;;;;;;;;;;
12;3;;我有时间的时候。;Wǒ yǒu shíhou de shíhou.;When I have time.;Quando ho tempo.;Quand j'ai du temps.;Cuando tengo tiempo.;Wenn ich Zeit habe.;;;;;;;;;;;;;;;;;;;;
12;4;;你用这个吗？;Nǐ yòng zhège ma?;Do you use this?;Usi questo?;Tu utilises ceci?;¿Usas esto?;Benutzt du das?;;;;;;;;;;;;;;;;;;;;
12;5;;学校里有人吗？;Xuéxiào lǐ yǒu rén ma?;Is there anyone at the school?;C'è qualcuno a scuola?;Y a-t-il quelqu'un à l'école?;¿Hay alguien en la escuela?;Ist jemand in der Schule?;;;;;;;;;;;;;;;;;;;;
12;6;;我在等你。;Wǒ zài děng nǐ.;I am waiting for you.;Ti sto aspettando.;Je t'attends.;Te estoy esperando.;Ich warte auf dich.;;;;;;;;;;;;;;;;;;;;
12;7;;你们好吗？;Nǐmen hǎo ma?;How are you all?;Come state?;Comment allez-vous?;¿Cómo están ustedes?;Wie geht es euch?;;;;;;;;;;;;;;;;;;;;
13;1;Words;不要;bú yào;"don’t want; don’t";"non volere; non";"ne pas vouloir; pas";"no querer; no";"nicht wollen; nicht";;;;;;;;;;;;;;;;;;;;
13;2;;这样;zhèyàng;"like this; this way";"così; in questo modo";"ainsi; de cette façon";"así; de esta manera";"so; auf diese Weise";;;;;;;;;;;;;;;;;;;;
13;3;;两;liǎng;two;due;deux;dos;zwei;;;;;;;;;;;;;;;;;;;;
13;4;;她;tā;she;lei;elle;ella;sie;;;;;;;;;;;;;;;;;;;;
13;5;;还;hái;"still; yet";ancora;encore;aún;noch;;;;;;;;;;;;;;;;;;;;
13;6;;月;yuè;"month; moon";"mese; luna";"mois; lune";"mes; luna";"Monat; Mond";;;;;;;;;;;;;;;;;;;;
13;7;;手;shǒu;hand;mano;main;mano;Hand;;;;;;;;;;;;;;;;;;;;
13;1;Phrases;不要走。;Bú yào zǒu.;Don’t go.;Non andare.;Ne va pas.;No vayas.;Geh nicht.;;;;;;;;;;;;;;;;;;;;
13;2;;这样不错。;Zhèyàng bùcuò.;This is not bad.;Questo non è male.;Ce n'est pas mal.;No está mal.;Das ist nicht schlecht.;;;;;;;;;;;;;;;;;;;;
13;3;;我们两个人。;Wǒmen liǎng gè rén.;We two people.;Noi due persone.;Nous deux personnes.;Nosotros dos personas.;Wir zwei Personen.;;;;;;;;;;;;;;;;;;;;
